strain	virus	date	pangolin_lineage	GISAID_clade	country_exposure	division_exposure	period	source
Thailand/NIH-162/2020	SARS-CoV-2	2020-01-22	B	L	Thailand	Samut Prakarn	B	Non-USA
USA/IL1/2020	SARS-CoV-2	2020-01-21	B	O	China	Hubei	B	Non-USA
Canada/ON_ON-VIDO-01-2/2020	SARS-CoV-2	2020-01-23	B	L	Canada	Ontario	B	Non-USA
Thailand/Nonthaburi_68/2020	SARS-CoV-2	2020-01-15	B	L	Thailand	Nonthaburi	B	Non-USA
Jiangsu/IVDC-JS-001/2020	SARS-CoV-2	2020-01-19	B	L	China	Jiangsu	B	Non-USA
USA/CA6/2020	SARS-CoV-2	2020-01-27	B	L	China	Hubei	B	Non-USA
Taiwan/8/2020	SARS-CoV-2	2020-01-31	B	L	Taiwan	Taiwan	B	Non-USA
Thailand/Phuket_247/2020	SARS-CoV-2	2020-01-25	B	L	Thailand	Phuket	B	Non-USA
Singapore/1/2020	SARS-CoV-2	2020-01-23	B	L	China	Hubei	B	Non-USA
Nepal/61/2020	SARS-CoV-2	2020-01-13	B	L	China	Hubei	B	Non-USA
Thailand/Nonthaburi_59/2020	SARS-CoV-2	2020-01-13	B	L	Thailand	Nonthaburi	B	Non-USA
Australia/SA01/2020	SARS-CoV-2	2020-01-30	B	O	Australia	South Australia	B	Non-USA
Malaysia/IMR_WC085/2020	SARS-CoV-2	2020-01-28	B	L	Malaysia	Malaysia	B	Non-USA
Thailand/61/2020	SARS-CoV-2	2020-01-08	B	L	China	Hubei	B	Non-USA
Taiwan/4/2020	SARS-CoV-2	2020-01-28	B	L	Taiwan	Taiwan	B	Non-USA
Wuhan/WIV02/2019	SARS-CoV-2	2019-12-30	B	L	China	Hubei	B	Non-USA
Wuhan/WIV05/2019	SARS-CoV-2	2019-12-30	B	L	China	Hubei	B	Non-USA
Japan/NA-20-05-1/2020	SARS-CoV-2	2020-01-25	B	L	Japan	Nara	B	Non-USA
Germany/BavPat1-ChVir929/2020	SARS-CoV-2	2020-01-28	B	G	Germany	Bavaria	B	Non-USA
Australia/SA04/2020	SARS-CoV-2	2020-01-30	B	O	Australia	South Australia	B	Non-USA
Australia/SAP305/2020	SARS-CoV-2	2020-01-30	B	O	Australia	South Australia	B	Non-USA
Guangdong/20SF629/2020	SARS-CoV-2	2020-01-26	B	O	China	Guangdong	B	Non-USA
Vietnam/19-01S/2020	SARS-CoV-2	2020-01-22	B	L	Vietnam	Ho Chi Minh City	B	Non-USA
Sichuan/SC-GA-062/2020	SARS-CoV-2	2020-01-26	B	L	China	Sichuan	B	Non-USA
HongKong/HKU-911a/2020	SARS-CoV-2	2020-01-30	B	L	Hong Kong	Hong Kong	B	Non-USA
Thailand/Bangkok_323/2020	SARS-CoV-2	2020-01-29	B	L	Thailand	Bangkok	B	Non-USA
Germany/BavPat2-ChVir984-ChVir1017/2020	SARS-CoV-2	2020-01-30	B	G	Germany	Bavaria	B	Non-USA
India/1-27/2020	SARS-CoV-2	2020-01-27	B	L	China	Hubei	B	Non-USA
Germany/BavPat4-ChVir1019/2020	SARS-CoV-2	2020-01-29	B	G	Germany	Bavaria	B	Non-USA
Malaysia/MKAK-CL-2020-5047/2020	SARS-CoV-2	2020-01-24	B	L	Malaysia	Selangor	B	Non-USA
France/IDF0515/2020	SARS-CoV-2	2020-01-29	B	O	China	Hubei	B	Non-USA
HongKong/HKU-913a/2020	SARS-CoV-2	2020-01-31	B	L	Hong Kong	Hong Kong	B	Non-USA
Thailand/SI200040-NT/2020	SARS-CoV-2	2020-01-08	B	L	Thailand	Thailand	B	Non-USA
Australia/NSW2153/2020	SARS-CoV-2	2020-01-25	B.1.5	G	Australia	New South Wales	B	Non-USA
Australia/NSW03/2020	SARS-CoV-2	2020-01-25	B.2	O	China	China	B	Non-USA
Australia/VIC01/2020	SARS-CoV-2	2020-01-25	B.2	O	China	Hubei	B	Non-USA
Australia/VIC02/2020	SARS-CoV-2	2020-01-24	B.2	O	Australia	Victoria	B	Non-USA
Australia/VIC03/2020	SARS-CoV-2	2020-01-25	B.2	O	Australia	Victoria	B	Non-USA
France/IDF0372/2020	SARS-CoV-2	2020-01-23	B.2	O	China	Hubei	B	Non-USA
France/IDF0373/2020	SARS-CoV-2	2020-01-23	B.2	O	China	Hubei	B	Non-USA
France/IDF0386-islP1/2020	SARS-CoV-2	2020-01-28	B.2	O	France	Ile de France	B	Non-USA
HongKong/HKPU12_2201/2020	SARS-CoV-2	2020-01-30	B.2	O	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKPU2_1801/2020	SARS-CoV-2	2020-01-23	B.2	O	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKU-200723-004/2020	SARS-CoV-2	2020-01-29	B.2	O	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKU-902a/2020	SARS-CoV-2	2020-01-23	B.2	L	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKU-902b/2020	SARS-CoV-2	2020-01-24	B.2	L	Hong Kong	Hong Kong	B	Non-USA
HongKong/VB20017970-2/2020	SARS-CoV-2	2020-01-21	B.2	L	Hong Kong	Hong Kong	B	Non-USA
HongKong/VB20024950-2/2020	SARS-CoV-2	2020-01-30	B.2	O	Hong Kong	Hong Kong	B	Non-USA
Italy/INMI1-cs/2020	SARS-CoV-2	2020-01-29	B.2	V	China	Hubei	B	Non-USA
Italy/SPL1/2020	SARS-CoV-2	2020-01-29	B.2	V	Italy	Lazio	B	Non-USA
Singapore/7/2020	SARS-CoV-2	2020-01-27	B.2	O	Singapore	Singapore	B	Non-USA
Sweden/20-02114/2020	SARS-CoV-2	2020-01-31	B.2	O	Sweden	Jonkoping	B	Non-USA
Taiwan/2/2020	SARS-CoV-2	2020-01-23	B.2	O	Taiwan	Taiwan	B	Non-USA
Thailand/Bangkok_269/2020	SARS-CoV-2	2020-01-26	B.2	O	Thailand	Bangkok	B	Non-USA
Thailand/NIH-190/2020	SARS-CoV-2	2020-01-22	B.2	O	Thailand	Nonthaburi	B	Non-USA
Thailand/Nonthaburi_363/2020	SARS-CoV-2	2020-01-29	B.2	O	Thailand	Nonthaburi	B	Non-USA
Thailand/SI200383-NT/2020	SARS-CoV-2	2020-01-23	B.2	O	Thailand	Thailand	B	Non-USA
Thailand/SI200478-NST/2020	SARS-CoV-2	2020-01-26	B.2	O	Thailand	Thailand	B	Non-USA
USA/CA2/2020	SARS-CoV-2	2020-01-22	B.2	O	China	Hubei	B	Non-USA
HongKong/HKU-903a/2020	SARS-CoV-2	2020-01-24	B.4	O	Hong Kong	Hong Kong	B	Non-USA
Shanghai/SH0022/2020	SARS-CoV-2	2020-01-30	B.4	O	China	Shanghai	B	Non-USA
Belgium/GHB-03021/2020	SARS-CoV-2	2020-02-03	A	S	China	Hubei	B	Non-USA
Thailand/Bangkok_580/2020	SARS-CoV-2	2020-02-01	A	S	Thailand	Bangkok	B	Non-USA
Shanghai/SH0032/2020	SARS-CoV-2	2020-02-01	A	S	China	Shanghai	B	Non-USA
SouthKorea/KCDC2169/2020	SARS-CoV-2	2020-03-09	A	S	South Korea	South Korea	B	Non-USA
Wuhan/HB-WH1-129/2020	SARS-CoV-2	2020-03-02	A	O	China	Hubei	B	Non-USA
Malaysia/MKAK-CL-2020-6430/2020	SARS-CoV-2	2020-02-04	A	S	Malaysia	Selangor	B	Non-USA
Panama/328941/2020	SARS-CoV-2	2020-02-27	A.1	S	USA	USA	B	Non-USA
Panama/329547/2020	SARS-CoV-2	2020-03-09	A.1	S	Panama	Santiago de Veraguas	B	Non-USA
Panama/333271/2020	SARS-CoV-2	2020-02-23	A.2	S	Panama	Panama Center	B	Non-USA
Spain/Valencia4/2020	SARS-CoV-2	2020-02-26	A.2	S	Spain	Comunitat Valenciana	B	Non-USA
Spain/Valencia266/2020	SARS-CoV-2	2020-02-29	A.2	S	Spain	Comunitat Valenciana	B	Non-USA
Panama/328710/2020	SARS-CoV-2	2020-02-20	A.2	O	Panama	Panama Center	B	Non-USA
Spain/PV-000805/2020	SARS-CoV-2	2020-03-08	A.2	S	Spain	Basque Country	B	Non-USA
Spain/Valencia23/2020	SARS-CoV-2	2020-02-27	A.2	S	Spain	Comunitat Valenciana	B	Non-USA
Greece/261_32221/2020	SARS-CoV-2	2020-03-10	A.5	S	Greece	Athens	B	Non-USA
Mexico/Queretaro-InDRE_04/2020	SARS-CoV-2	2020-03-10	A.5	S	Mexico	Queretaro	B	Non-USA
Thailand/Bangkok-CONI-0106/2020	SARS-CoV-2	2020-03-09	A.6	S	Thailand	Bangkok	B	Non-USA
Thailand/Bangkok_1716/2020	SARS-CoV-2	2020-02-25	A.6	S	Thailand	Bangkok	B	Non-USA
Thailand/MUMT-3/2020	SARS-CoV-2	2020-02-25	A.6	S	Thailand	Bangkok	B	Non-USA
Thailand/SI202620-NT/2020	SARS-CoV-2	2020-02-22	A.6	S	Thailand	Thailand	B	Non-USA
Thailand/SI202769-NT/2020	SARS-CoV-2	2020-02-25	A.6	O	Thailand	Thailand	B	Non-USA
Thailand/SI202872-NT/2020	SARS-CoV-2	2020-02-25	A.6	S	Thailand	Thailand	B	Non-USA
Japan/PG-0091/2020	SARS-CoV-2	2020-03-06	B	L	Japan	Hokkaido	B	Non-USA
Singapore/187/2020	SARS-CoV-2	2020-02-27	B	L	Singapore	Singapore	B	Non-USA
Japan/DP0803/2020	SARS-CoV-2	2020-02-17	B	O	Japan	Japan	B	Non-USA
Japan/DP0568/2020	SARS-CoV-2	2020-02-17	B	O	Japan	Japan	B	Non-USA
Singapore/3/2020	SARS-CoV-2	2020-02-01	B	O	Singapore	Singapore	B	Non-USA
France/RA739/2020	SARS-CoV-2	2020-02-08	B	L	France	Auvergne-Rhône-Alpes	B	Non-USA
Norway/1917/2020	SARS-CoV-2	2020-03-10	B.1	GH	Austria	Austria	B	Non-USA
Canada/ON_PHL2259/2020	SARS-CoV-2	2020-02-29	B.1	GH	Canada	Ontario	B	Non-USA
England/20100121007/2020	SARS-CoV-2	2020-02-29	B.1	G	United Kingdom	England	B	Non-USA
Chile/Puerto_Montt_1/2020	SARS-CoV-2	2020-03-05	B.1	G	Chile	Puerto Montt	B	Non-USA
England/20099072904/2020	SARS-CoV-2	2020-02-27	B.1	G	United Kingdom	England	B	Non-USA
Beijing/DT-travelIT03/2020	SARS-CoV-2	2020-03-07	B.1	G	Italy	Lombardy	B	Non-USA
Spain/Canarias201939/2020	SARS-CoV-2	2020-02-29	B.1.1	GR	Spain	Canary Islands	B	Non-USA
Switzerland/GE1422/2020	SARS-CoV-2	2020-02-28	B.1.1	GR	Switzerland	Geneva	B	Non-USA
Switzerland/1000477757/2020	SARS-CoV-2	2020-02-29	B.1.1	GR	Switzerland	Zürich	B	Non-USA
Vietnam/VNHN_022/2020	SARS-CoV-2	2020-03-07	B.1.1	GR	Vietnam	Red River Delta	B	Non-USA
Netherlands/Delft_1363424/2020	SARS-CoV-2	2020-02-28	B.1.1	GR	Italy	Italy	B	Non-USA
Mexico/EdoMex-InDRE_07/2020	SARS-CoV-2	2020-02-28	B.1.1	GR	Italy	Lombardy	B	Non-USA
Croatia/ZG-297-20/2020	SARS-CoV-2	2020-03-05	B.1.1.1	GR	Croatia	Varaždin County	B	Non-USA
Iceland/79/2020	SARS-CoV-2	2020-03-09	B.1.1.17	GR	Iceland	Reykjavik	B	Non-USA
Brazil/SP-14/2020	SARS-CoV-2	2020-03-05	B.1.1.28	GR	Italy	Italy	B	Non-USA
Austria/CeMM0003/2020	SARS-CoV-2	2020-02-26	B.1.1.6	GR	Italy	Italy	B	Non-USA
Austria/CeMM0143/2020	SARS-CoV-2	2020-02-27	B.1.1.6	GR	Austria	Vienna	B	Non-USA
Austria/CeMM0146/2020	SARS-CoV-2	2020-02-28	B.1.1.6	GR	Austria	Vienna	B	Non-USA
Austria/CeMM0147/2020	SARS-CoV-2	2020-02-28	B.1.1.6	GR	Austria	Vienna	B	Non-USA
Austria/CeMM0401/2020	SARS-CoV-2	2020-02-28	B.1.1.6	GR	Austria	Austria	B	Non-USA
Peru/INS-026/2020	SARS-CoV-2	2020-03-06	B.1.11	G	Peru	Arequipa	B	Non-USA
SaudiArabia/562/2020	SARS-CoV-2	2020-02-16	B.1.113	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
SaudiArabia/578/2020	SARS-CoV-2	2020-02-17	B.1.113	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
Netherlands/NA_17/2020	SARS-CoV-2	2020-03-09	B.1.22	G	Netherlands	Netherlands	B	Non-USA
SaudiArabia/671/2020	SARS-CoV-2	2020-02-27	B.1.36	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
SaudiArabia/583/2020	SARS-CoV-2	2020-02-18	B.1.36	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
SaudiArabia/677/2020	SARS-CoV-2	2020-03-01	B.1.36	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
SaudiArabia/518/2020	SARS-CoV-2	2020-02-10	B.1.36	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
SaudiArabia/509/2020	SARS-CoV-2	2020-02-09	B.1.36	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
SaudiArabia/627/2020	SARS-CoV-2	2020-02-23	B.1.36	GH	Saudi Arabia	Saudi Arabia	B	Non-USA
Peru/INS-008/2020	SARS-CoV-2	2020-03-09	B.1.5	G	Peru	Huanuco	B	Non-USA
Luxembourg/LNS0000001/2020	SARS-CoV-2	2020-02-29	B.1.5	G	Luxembourg	Luxembourg	B	Non-USA
Italy/INMI5/2020	SARS-CoV-2	2020-03-04	B.1.5	G	Italy	Lazio	B	Non-USA
Luxembourg/Lux1/2020	SARS-CoV-2	2020-02-29	B.1.5	G	Italy	Italy	B	Non-USA
Panama/329108/2020	SARS-CoV-2	2020-03-10	B.1.5	G	Spain	Spain	B	Non-USA
Switzerland/GE5373/2020	SARS-CoV-2	2020-02-27	B.1.5	G	Switzerland	Geneva	B	Non-USA
Thailand/SI201712-NT/2020	SARS-CoV-2	2020-02-03	B.2	O	Thailand	Thailand	B	Non-USA
Singapore/8/2020	SARS-CoV-2	2020-02-03	B.2	O	Singapore	Singapore	B	Non-USA
HongKong/HKPU61-0202/2020	SARS-CoV-2	2020-02-17	B.2	O	Hong Kong	Hong Kong	B	Non-USA
Iceland/13/2020	SARS-CoV-2	2020-02-27	B.2	V	Italy	Italy	B	Non-USA
Finland/FIN01032020/2020	SARS-CoV-2	2020-03-01	B.2	V	Finland	Helsinki	B	Non-USA
Brazil/SP-02/2020	SARS-CoV-2	2020-02-28	B.2	V	Italy	Lombardy	B	Non-USA
England/20102088002/2020	SARS-CoV-2	2020-02-25	B.2.1	V	United Kingdom	England	B	Non-USA
Brazil/ES-225/2020	SARS-CoV-2	2020-02-29	B.2.1	V	Brazil	Espirito Santo	B	Non-USA
England/20078003804/2020	SARS-CoV-2	2020-02-13	B.2.1	V	United Kingdom	England	B	Non-USA
England/20100001304/2020	SARS-CoV-2	2020-02-28	B.2.1	O	United Kingdom	England	B	Non-USA
England/20088028304/2020	SARS-CoV-2	2020-02-20	B.2.1	V	United Kingdom	England	B	Non-USA
Jamaica/JM-CDC-0869/2020	SARS-CoV-2	2020-03-09	B.2.1	V	Jamaica	Jamaica	B	Non-USA
SouthKorea/KCDC2067/2020	SARS-CoV-2	2020-02-19	B.2.10	V	South Korea	South Korea	B	Non-USA
SouthKorea/KCDC2045/2020	SARS-CoV-2	2020-02-20	B.2.10	V	South Korea	South Korea	B	Non-USA
SouthKorea/KCDC2077/2020	SARS-CoV-2	2020-02-21	B.2.10	V	South Korea	South Korea	B	Non-USA
SouthKorea/KCDC2048/2020	SARS-CoV-2	2020-02-21	B.2.10	V	South Korea	South Korea	B	Non-USA
SouthKorea/KCDC2087/2020	SARS-CoV-2	2020-02-23	B.2.10	V	South Korea	South Korea	B	Non-USA
SouthKorea/A2/2020	SARS-CoV-2	2020-03-08	B.2.10	V	South Korea	Seoul	B	Non-USA
HongKong/HKPU33_0202/2020	SARS-CoV-2	2020-02-09	B.2.8	O	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKPU73-0802/2020	SARS-CoV-2	2020-02-22	B.2.8	V	Hong Kong	Hong Kong	B	Non-USA
HongKong/VM20002868/2020	SARS-CoV-2	2020-02-24	B.2.8	O	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKPU29_0102/2020	SARS-CoV-2	2020-02-08	B.2.8	O	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKU-200723-002/2020	SARS-CoV-2	2020-03-09	B.2.8	V	Hong Kong	Hong Kong	B	Non-USA
HongKong/HKPU44-0102/2020	SARS-CoV-2	2020-02-10	B.2.8	O	Hong Kong	Hong Kong	B	Non-USA
Wales/PHWC-2C8E8/2020	SARS-CoV-2	2020-03-08	B.3	L	United Kingdom	Wales	B	Non-USA
Germany/NRW-06/2020	SARS-CoV-2	2020-02-27	B.3	L	Germany	North Rhine Westphalia	B	Non-USA
Germany/NRW-05/2020	SARS-CoV-2	2020-02-26	B.3	L	Germany	North Rhine Westphalia	B	Non-USA
Germany/NRW-04/2020	SARS-CoV-2	2020-02-26	B.3	L	Germany	North Rhine Westphalia	B	Non-USA
Germany/NRW-07/2020	SARS-CoV-2	2020-02-27	B.3	L	Germany	North Rhine Westphalia	B	Non-USA
Germany/NRW-03/2020	SARS-CoV-2	2020-02-26	B.3	L	Germany	North Rhine Westphalia	B	Non-USA
Shanghai/SH0126/2020	SARS-CoV-2	2020-02-15	B.4	O	China	Shanghai	B	Non-USA
Oman/RESP-20-1189/2020	SARS-CoV-2	2020-03-02	B.4	L	Oman	Muscat	B	Non-USA
Canada/BC_37_0-2/2020	SARS-CoV-2	2020-02-16	B.4	O	Iran	Iran	B	Non-USA
Canada/BC_69243/2020	SARS-CoV-2	2020-02-20	B.4	O	Iran	Iran	B	Non-USA
Pakistan/Gilgit1/2020	SARS-CoV-2	2020-03-04	B.4	O	Iran	Iran	B	Non-USA
India/1115/2020	SARS-CoV-2	2020-03-10	B.4	O	Iran	Iran	B	Non-USA
Japan/DP0464/2020	SARS-CoV-2	2020-02-16	B.5	O	Japan	Japan	B	Non-USA
Japan/DP0588/2020	SARS-CoV-2	2020-02-17	B.5	O	Japan	Japan	B	Non-USA
Japan/DP0764/2020	SARS-CoV-2	2020-02-17	B.5	O	Japan	Japan	B	Non-USA
Malaysia/IMR-WC9174/2020	SARS-CoV-2	2020-03-04	B.6	O	Malaysia	Selangor	B	Non-USA
Malaysia/IMR-WC9205/2020	SARS-CoV-2	2020-03-04	B.6	O	Malaysia	Selangor	B	Non-USA
USA/MN-MDH-1273/2020	SARS-CoV-2	2020-03-10	A	S	USA	Minnesota	B	USA-other
USA/VA_6171/2020	SARS-CoV-2	2020-03-06	A	S	USA	Virginia	B	USA-other
USA/WA-S11/2020	SARS-CoV-2	2020-03-03	A.1	S	USA	Washington	B	USA-other
USA/WA-UW42/2020	SARS-CoV-2	2020-03-09	A.1	S	USA	Washington	B	USA-other
USA/MN-CDC-0106/2020	SARS-CoV-2	2020-03-10	A.1	S	USA	Minnesota	B	USA-other
USA/WA-UW71/2020	SARS-CoV-2	2020-03-09	A.1	S	USA	Washington	B	USA-other
USA/WA-S90/2020	SARS-CoV-2	2020-02-29	A.1	S	USA	Oregon	B	USA-other
USA/WA-S7/2020	SARS-CoV-2	2020-02-24	A.1	S	USA	Washington	B	USA-other
USA/WA-S248/2020	SARS-CoV-2	2020-03-10	A.1	S	USA	Washington	B	USA-other
USA/WA-S34/2020	SARS-CoV-2	2020-03-02	A.1	S	USA	Washington	B	USA-other
USA/WA-S49/2020	SARS-CoV-2	2020-03-04	A.1	S	USA	Washington	B	USA-other
env/USA/FL-UF11/2020	SARS-CoV-2	2020-02-21	A.1	S	USA	Florida	B	USA-other
USA/WA-S57/2020	SARS-CoV-2	2020-03-03	A.1	S	USA	Washington	B	USA-other
USA/FL-BPHL-0537/2020	SARS-CoV-2	2020-03-06	A.1	S	USA	Florida	B	USA-other
USA/WA-S23/2020	SARS-CoV-2	2020-03-02	A.1	S	USA	Washington	B	USA-other
USA/FL_9655/2020	SARS-CoV-2	2020-03-05	A.3	S	USA	Florida	B	USA-other
USA/GA-CDC-2059/2020	SARS-CoV-2	2020-03-07	A.3	O	USA	Georgia	B	USA-other
USA/SC-DHEC-0008/2020	SARS-CoV-2	2020-03-10	A.3	S	USA	South Carolina	B	USA-other
USA/GA-EHC-087I/2020	SARS-CoV-2	2020-03-10	A.3	S	USA	Georgia	B	USA-other
USA/IN-CDC-2013/2020	SARS-CoV-2	2020-03-09	A.3	O	USA	Indiana	B	USA-other
USA/MN-CDC-0108/2020	SARS-CoV-2	2020-03-10	A.3	O	USA	Minnesota	B	USA-other
USA/SC_3575/2020	SARS-CoV-2	2020-03-07	A.3	S	USA	South Carolina	B	USA-other
USA/FL-BPHL-0141/2020	SARS-CoV-2	2020-03-10	A.3	S	USA	Florida	B	USA-other
USA/SC_6370/2020	SARS-CoV-2	2020-03-08	A.3	S	USA	South Carolina	B	USA-other
USA/SC_3571/2020	SARS-CoV-2	2020-03-07	A.3	S	USA	South Carolina	B	USA-other
USA/FL-CDC-2718/2020	SARS-CoV-2	2020-03-09	A.3	O	USA	Florida	B	USA-other
USA/SC-DHEC-0001/2020	SARS-CoV-2	2020-03-06	A.3	S	USA	South Carolina	B	USA-other
USA/GA-EHC-086H/2020	SARS-CoV-2	2020-03-10	A.3	S	USA	Georgia	B	USA-other
USA/MI-MDHHS-SC20004/2020	SARS-CoV-2	2020-03-10	A.5	S	USA	Michigan	B	USA-other
USA/CA_2602/2020	SARS-CoV-2	2020-02-26	B	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC125/2020	SARS-CoV-2	2020-03-06	B	O	USA	California	B	USA-other
USA/CA-SCCPHD-UC124/2020	SARS-CoV-2	2020-03-05	B	S	USA	California	B	USA-other
USA/WA-S30/2020	SARS-CoV-2	2020-02-28	B	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC143/2020	SARS-CoV-2	2020-03-09	B	O	USA	California	B	USA-other
USA/CA-SCCPHD-UC149/2020	SARS-CoV-2	2020-03-10	B	O	USA	California	B	USA-other
USA/CA-SCCPHD-UC139/2020	SARS-CoV-2	2020-03-09	B	L	USA	California	B	USA-other
USA/CA-UCSF-UC33/2020	SARS-CoV-2	2020-03-07	B	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC116/2020	SARS-CoV-2	2020-03-04	B	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC109/2020	SARS-CoV-2	2020-03-02	B	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC16/2020	SARS-CoV-2	2020-03-04	B	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC13/2020	SARS-CoV-2	2020-03-02	B	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC155/2020	SARS-CoV-2	2020-03-10	B	L	USA	California	B	USA-other
USA/IA_6391/2020	SARS-CoV-2	2020-03-07	B.1	G	USA	Iowa	B	USA-other
USA/TX-HMH035/2020	SARS-CoV-2	2020-03-09	B.1	GH	USA	Texas	B	USA-other
USA/NH_0004/2020	SARS-CoV-2	2020-02-29	B.1	GH	USA	New Hampshire	B	USA-other
USA/VA-DCLS-0020/2020	SARS-CoV-2	2020-03-10	B.1	GH	USA	Virginia	B	USA-other
USA/MA-MGH-00441/2020	SARS-CoV-2	2020-03-05	B.1	GH	USA	Massachusetts	B	USA-other
USA/MI-MDHHS-SC20437/2020	SARS-CoV-2	2020-03-09	B.1	GH	USA	Michigan	B	USA-other
