strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
USA/WA-S101/2020	SARS-CoV-2	2020-02-28	S	USA	Washington	C	USA-other
USA/CA-SCCPHD-UC155/2020	SARS-CoV-2	2020-03-10	L	USA	California	C	USA-other
USA/CA-SCCPHD-UC111/2020	SARS-CoV-2	2020-03-02	O	USA	California	C	USA-other
USA/CA-SCCPHD-UC129/2020	SARS-CoV-2	2020-03-06	L	USA	California	C	USA-other
USA/MA-MGH-00424/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	C	USA-other
USA/WA-UW45/2020	SARS-CoV-2	2020-03-08	O	USA	Washington	C	USA-other
USA/WA-UW90/2020	SARS-CoV-2	2020-03-10	S	USA	Washington	C	USA-other
USA/CA-SR0416/2020	SARS-CoV-2	2020-03-10	S	USA	California	C	USA-other
USA/FL-CDC-2316/2020	SARS-CoV-2	2020-03-09	GH	USA	Florida	C	USA-other
USA/CA-SCCPHD-UC17/2020	SARS-CoV-2	2020-03-08	O	USA	California	C	USA-other
USA/MN-CDC-0103/2020	SARS-CoV-2	2020-03-10	GR	USA	Minnesota	C	USA-other
USA/WA-S258/2020	SARS-CoV-2	2020-03-06	S	USA	Washington	C	USA-other
USA/CA-CDPH-UC23/2020	SARS-CoV-2	2020-03-09	S	USA	California	C	USA-other
USA/WA-UW53/2020	SARS-CoV-2	2020-03-09	S	USA	Washington	C	USA-other
USA/WA-S58/2020	SARS-CoV-2	2020-03-05	S	USA	Washington	C	USA-other
USA/MA-MGH-00417/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	C	USA-other
USA/CA-SCCPHD-UC104/2020	SARS-CoV-2	2020-02-29	GH	USA	California	C	USA-other
USA/CA-SCCPHD-UC138/2020	SARS-CoV-2	2020-03-09	O	USA	California	C	USA-other
USA/HI_4970/2020	SARS-CoV-2	2020-03-05	G	USA	Hawaii	C	USA-other
USA/CA-SCCPHD-UC143/2020	SARS-CoV-2	2020-03-09	O	USA	California	C	USA-other
USA/CA-SCCPHD-UC135/2020	SARS-CoV-2	2020-03-07	O	USA	California	C	USA-other
USA/WA8-UW5/2020	SARS-CoV-2	2020-03-01	S	USA	Washington	C	USA-other
USA/CO-CDC-5610/2020	SARS-CoV-2	2020-03-07	O	USA	Colorado	C	USA-other
USA/WA-UW22/2020	SARS-CoV-2	2020-03-06	O	USA	Washington	C	USA-other
USA/WA-UW112/2020	SARS-CoV-2	2020-03-10	S	USA	Washington	C	USA-other
USA/GA_2741/2020	SARS-CoV-2	2020-02-29	GR	USA	Georgia	C	USA-other
USA/MN-MDH-1267/2020	SARS-CoV-2	2020-03-09	S	USA	Minnesota	C	USA-other
USA/WA-S108/2020	SARS-CoV-2	2020-02-29	S	USA	Washington	C	USA-other
USA/CA-SCCPHD-UC123/2020	SARS-CoV-2	2020-03-04	O	USA	California	C	USA-other
USA/CA-SCCPHD-UC13/2020	SARS-CoV-2	2020-03-02	L	USA	California	C	USA-other
USA/WA-UW26/2020	SARS-CoV-2	2020-03-05	S	USA	Washington	C	USA-other
USA/WA-S63/2020	SARS-CoV-2	2020-03-04	S	USA	Washington	C	USA-other
USA/NY-NYU-VC-002/2020	SARS-CoV-2	2020-03-06	V	USA	New York	C	NY
USA/NY-NYUMC1/2020	SARS-CoV-2	2020-03-04	V	USA	New York	C	NY
USA/NY-PV09407/2020	SARS-CoV-2	2020-03-10	GH	USA	New York	C	NY
USA/NY-PV09413/2020	SARS-CoV-2	2020-03-09	GH	USA	New York	C	NY
USA/NY-PV09438/2020	SARS-CoV-2	2020-03-10	S	USA	New York	C	NY
USA/NY-PV09442/2020	SARS-CoV-2	2020-03-08	GH	USA	New York	C	NY
USA/NY-PV09444/2020	SARS-CoV-2	2020-03-04	GH	USA	New York	C	NY
USA/NY-PV09448/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-SURV0144/2020	SARS-CoV-2	2020-03-02	L	USA	New York	C	NY
USA/NY-SURV0162/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-SURV0165/2020	SARS-CoV-2	2020-03-09	V	USA	New York	C	NY
USA/NY-SURV0166/2020	SARS-CoV-2	2020-03-09	V	USA	New York	C	NY
USA/NY-SURV0171/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
USA/NY-SURV0175/2020	SARS-CoV-2	2020-03-09	O	USA	New York	C	NY
